Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Street Food;Culinary art;culinary,art;2023-04-27;1 season, 9 episodes;1;9;30–34 min.;30;34;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Battlefish;Reality;reality;2023-04-27;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
The Keepers;Crime drama;crime,drama;2023-04-27;7 episodes;0;7;56–66 min.;56;66;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Confession Tapes;True crime;true,crime;2023-04-27;2 seasons, 11 episodes;2;11;41–54 min.;41;54;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
1994;Docu-series;docu-series;2023-04-27;5 episodes;0;5;44–52 min.;44;52;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Good Cop;Police procedural comedy-drama;police,procedural,comedy-drama;2023-04-27;1 season, 10 episodes;1;10;43–49 min.;43;49;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Daredevil;Crime drama/legal drama;crime,drama,legal,drama;2023-04-27;3 seasons, 39 episodes;3;39;46–61 min.;46;61;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
Persona;Drama anthology series;drama,anthology,series;2023-04-27;1 season, 4 episodes;1;4;19–27 min.;19;27;Ended;0;ForeignLanguage;Korean;2021-03-16;2023-04-27T17:33:17.694Z
Castlevania;Dark fantasy;dark,fantasy;2023-04-27;2 seasons, 12 episodes;2;12;23–29 min.;23;29;Renewed;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Élite;Crime teen drama;crime,teen,drama;2023-04-27;1 season, 8 episodes;1;8;47–56 min.;47;56;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Go! Live Your Way;Musical;musical;2023-04-27;2 seasons, 30 episodes;2;30;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Dope;Documentary;documentary;2023-04-27;2 seasons, 8 episodes;2;8;43–48 min.;43;48;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Baki;Martial arts;martial,arts;2023-04-27;2 parts, 26 episodes;0;26;23–24 min.;23;24;Renewed;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
The Boss Baby: Back in Business;childrens-animation;childrens-animation;2023-04-27;2 seasons, 26 episodes;2;26;24 min.;24;24;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Cooked;Culinary art;culinary,art;2023-04-27;4 episodes;0;4;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Fearless;Sport;sport;2023-04-27;6 episodes;0;6;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
B: The Beginning;Suspense;suspense;2023-04-27;1 season, 12 episodes;1;12;25–27 min.;25;27;Renewed;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Losers;Sport;sport;2023-04-27;1 collection, 8 episodes;0;8;25–37 min.;25;37;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
YooHoo to the Rescue;childrens-animation;childrens-animation;2023-04-27;1 season, 26 episodes;1;26;13–14 min.;13;14;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Coach Snoop;Sport;sport;2023-04-27;1 season, 8 episodes;1;8;28–30 min.;28;30;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Patriot Act with Hasan Minhaj;Talk show;talk,show;2023-04-27;3 volumes, 19 episodes;0;19;23–30 min.;23;30;Renewed;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
FightWorld;Travel documentary;travel,documentary;2023-04-27;1 season, 5 episodes;1;5;41–44 min.;41;44;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Russell Peters Vs. the World;Comedy;comedy;2023-04-27;1 season, 4 episodes;1;4;26–29 min.;26;29;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Explained;Docu-series;docu-series;2023-04-27;1 season, 20 episodes;1;20;14–20 min.;14;20;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Shadow;Thriller;thriller;2023-04-27;1 season, 8 episodes;1;8;40–49 min.;40;49;Pending;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Edgar Rice Burroughs' Tarzan and Jane;childrens-animation;childrens-animation;2023-04-27;2 seasons, 13 episodes;2;13;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
